Here are all the prices extracted from your PDF 

# Pizzas

| Product                         | Price   |
| ------------------------------- | ------- |
| Mozzarella                      | $15.000 |
| Especial                        | $19.000 |
| Fugazzeta                       | $19.000 |
| Grinch (Fugazzeta con pesto)    | $19.000 |
| Napolitana con ajo              | $19.000 |
| Napolitana vegana               | $18.000 |
| Cuatro quesos ahumado           | $20.000 |
| Rucula y jamon crudo            | $21.000 |
| Rucula veggie                   | $20.000 |
| Pepperoni                       | $20.000 |
| Super pesto                     | $20.000 |
| Caprese                         | $22.000 |
| Borromeo (Panceta)              | $22.000 |
| Champignon                      | $22.000 |
| Champignon veggie               | $22.000 |
| Palmitos y jamon                | $22.000 |
| Anana                           | $24.000 |
| Anchoas                         | $24.000 |
| Super gordo (Fugazzeta rellena) | $35.000 |

---

# Pizzas Paninnis

| Product           | Price   |
| ----------------- | ------- |
| Paninni Clásico   | $17.000 |
| Paninni Caprese   | $17.000 |
| Paninni del Gordo | $19.000 |

---

# Empanadas

| Product             | Unit   | 1/2 Doc | Doc     |
| ------------------- | ------ | ------- | ------- |
| Carne               | $2.500 | $10.000 | $19.000 |
| Pollo               | $2.500 | $10.000 | $19.000 |
| Jamon y queso       | $3.000 | $12.000 | $22.000 |
| Matambre a la pizza | $3.500 | $16.000 | $30.000 |
| Cheese Burger       | $3.500 | $14.000 | $24.000 |

---

# Promos

| Product    | Price   |
| ---------- | ------- |
| Dos Muzzas | $25.000 |

---

# Bebidas

| Product                 | Price   |
| ----------------------- | ------- |
| Gaseosa de 500 ML       | $3.500  |
| Agua                    | $3.500  |
| Gaseosa 2 ½ LT          | $7.000  |
| Cerveza 473 ML          | $7.000  |
| Cerveza 710 ML          | $9.000  |
| Pinta del Gordo         | $6.000  |
| La Birra del Gordo 1 LT | $10.000 |
